Company,Phone,Website,Email,Street,Status,Rating
EuroSchool North Campus - CBSE School Yelahanka,08069832150,https://www.euroschoolindia.com/best-schools-in-bangalore/cbse-yelahanka-north-campus/?utm_source=google&utm_medium=organic&utm_id=gmb_listing,connect@euroschoolindia.com,"North Campus, Survey No – 27, Srinivasa Pura Village, Kogilu Main Rd, Yelahanka Hobli, Bellahalli, Bengaluru, Karnataka 560064",Open - Not Contacted,D
EuroSchool Chimney Hills - CBSE School,08069832143,https://www.euroschoolindia.com/best-schools-in-bangalore/cbse-chimney-hills/?utm_source=google&utm_medium=organic&utm_id=gmb_listing,connect@euroschoolindia.com,"Survey No.15, Hesarghatta Rd, Chikkasandra, Chikkabanavara, Bengaluru, Karnataka 560090",Open - Not Contacted,D
New Karnataka Real Estate Agency,08088898178,https://newkarnatakarealestatemna.com/,info@newkarnatakarealestatemna.com,"Anjanadri layout, 187, 1st main cross road, Sinthan Nagar, Unity Nagar, Rachenahalli, Thanisandra, Bengaluru, Karnataka 560077",Open - Not Contacted,D
BrokerInBlue - Professional Real Estate Brokers,07760947777,https://brokerinblue.com/,hello@brokerinblue.com,"#82, 80 Feet Rd, KGE Layout, R.M.V. 2nd Stage, Bengaluru, Karnataka 560094",Open - Not Contacted,D
MR Real Estate,08748001723,,,"39b, 18th A Main Rd, Sector 3, HSR Layout, Bengaluru, Karnataka 560102",Open - Not Contacted,D
Snehaloka Estates and Properties,09738892927,http://snehalokaproperties.com/,snehalokaproperties@gmail.com,"ganesha, Sawmill Rd, Kempegowdanagar, Maheswari Nagar, T. Dasarahalli, Bengaluru, Karnataka 560057",Open - Not Contacted,D
MaiSai Realty - Real estate agency,08050276328,https://maisairealty.com/,info@maisairealty.com,"1st Floor, hig House, 457, 5th Main Rd, Dollars Colony, R.M.V. 2nd Stage, Bengaluru, Karnataka 560094",Open - Not Contacted,D
The Sleep Company Experience Store - Kompally,07304417550,https://thesleepcompany.in/pages/mattress-store-in-kompally?utm_source=locator&utm_medium=googleplaces,,"Besides - D Mart, 1-076/2, NCL Enclave South, Canton Residential TWP, Petbasheerabad, Kompally, Hyderabad, Telangana 500067",Open - Not Contacted,D
"Interio by Godrej - Furniture and Mattress Store in Abid Rd, Hyderabad",09167990236,https://stores.interio.com/interio-by-godrej-furniture-and-mattress-store-in-abid-rd-hyderabad-abids-store-home-furniture-shop-abids-hyderabad-285053/Home?utm_source=locator&utm_medium=googleplaces,cprakash@godrej.com,"5/8/537/541, Abids Road, opposite Taj Mahal Hotel, Chirag Ali Lane, Abids, Hyderabad, Telangana 500001",Open - Not Contacted,D
Tirumala Furnitures,09333006003,https://www.tirumalafurnitures.in/,,"Plot No 43, 44, Kukatpally, Pragathi Nagar, Hyderabad, Telangana 500090",Open - Not Contacted,D
"Wooden Street - Furniture and Mattress Store in Banjara Hills, Hyderabad",09314444747,https://www.woodenstreet.com/furniture-store-in-banjara-hills-hyederabad?utm_source=GMB_Listing&utm_medium=website_button&utm_campaign=GMB_Traffic&utm_id=Banjara_Hills_Hyderabad,support@woodenstreet.com,"1st Floor, 8-2, 701, Road No. 12, beside Century Super Speciality Hospital, Amudi Nagar, Bhola Nagar, Banjara Hills, Hyderabad, Telangana 500034",Open - Not Contacted,D
Andhra Pradesh Furnitures,04023202221,http://ap.furniture/,,"5-8-106, Nampally Station Rd, Mahesh Nagar, Abids, Hyderabad, Telangana 500001",Open - Not Contacted,D
Blue Sea Restaurant,08247066797,https://blue-sea-restaurant.grexa.site/,,"Hyderguda-Basheerbagh Rd, Gun Foundry, Basheer Bagh, Hyderabad, Telangana 500001",Open - Not Contacted,D
Parampara - Flavours Of India,08074932383,http://www.paramparafoi.in/,,"ANR Centre, Road No. 1, Naveen Nagar, Banjara Hills, Hyderabad, Telangana 500034",Open - Not Contacted,D
Hotel Shadab,09642421990,http://www.shadab.ai/,support@shadab.com,"Madina Circle, 21-1-140-144, High Court Rd, near High Court, Charminar, Ghansi Bazaar, Hyderabad, Telangana 500012",Open - Not Contacted,D
ANANDOBRAHMA (Fine Dine Restaurant),09613056789,,,"7-1, 208&209A, beside Satyam Theatre Road, Swathi Avenue, Ameerpet, Hyderabad, Telangana 500016",Open - Not Contacted,D
Jewel Of Nizam- The Golkonda Hotel Banjara Hills,04066110101,http://www.thegolkondahotel.com/,info@thegolkondahotel.com,"D No. 10/1/124, The Golkonda Hotel, Saifabad Rd, Masab Tank, Hyderabad, Telangana 500004",Open - Not Contacted,D
Courtyard by Marriott Hyderabad,04066522222,https://www.marriott.com/en-us/hotels/hydcy-courtyard-hyderabad/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,"1-3-1024, Lower Tank Bund Rd, Bhagyalaxmi Nagar, Kavadiguda, Hyderabad, Telangana 500080",Open - Not Contacted,D
Hotel SM Deccan Park Airport zone,07330977077,http://www.smhotels.in/,reservation@smhotels.in,"11-3/4, Brindavan Colony, Shamshabad, Hyderabad, Telangana 501218",Open - Not Contacted,D
Hyderabad Marriott Hotel & Convention Centre,04066522999,https://www.marriott.com/en-us/hotels/hydmc-hyderabad-marriott-hotel-and-convention-centre/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,,"Tank Bund Rd, opposite Hussain Sagar, Bhagyalaxmi Nagar, Lake, Hyderabad, Telangana 500080",Open - Not Contacted,D
Hotel Grand Himayat,04046049792,http://www.hotelgrandhimayat.com/,reservations@hotelgrandhimayat.com,"Hotel Grand Himayat Plot No. 3-6-552 to 558 &558/1, opp. Minerva, Himayatnagar, Hyderabad, Telangana 500029",Open - Not Contacted,D
"Lemon Tree Hotel, Banjara Hills, Hyderabad",04046121212,https://www.lemontreehotels.com/lemon-tree-hotel/hyderabad/banjara-hills-hyderabad?utm_source=google&utm_medium=organic&utm_campaign=gmb_listing,reservations@lemontreehotels.com,"Next, CARE HOSPITALS BANJARA HILLS, Road No. 1, Prem Nagar, Banjara Hills, Hyderabad, Telangana 500034",Open - Not Contacted,D
Park Dental Care (Kondapur) | Invisalign Treatment Centre,06262858524,https://parkdentalcare.in/dental-clinic-kondapur,,"2nd Floor, Plot no 54, Jubilee Enclave, HITEC City, Kondapur, Hyderabad, Telangana 500081",Open - Not Contacted,D
"Olive's Dental World - Madhapur, Hyderabad",09542032323,https://olivesdentalworld.com/,olivesdentalworld@gmail.com,"Fortune Icon, Beside Jrt's Dream homes Road Number 7, Avenue 3, Kakatiya Hills, Kavuri Hills, Madhapur, Hyderabad, Telangana 500081",Open - Not Contacted,D
"GA Dental Clinic - Banjara Hills, Hyderabad",09505443330,https://consult.gadentalclinics.com/,,"Banjara Castle, Diagonal to Century Hospital, 1, Road No. 12, opp. ELBIT Diagnostics, Amrutha Estate, Sri Ram Nagar Colony, Banjara Hills, Hyderabad, Telangana 500028",Open - Not Contacted,D
HyderabadSmiles,08801627272,https://hyderabadsmiles.com/,hyderabadsmiles@gmail.com,"FLAT NO 273, 1-65/2/272, near D MART, Kavuri Hills, Madhapur, Hyderabad, Telangana 500081",Open - Not Contacted,D
HYDERABAD DENTAL HOSPITAL & IMPLANT CENTRE,09705856879,https://www.hyderabaddentalhospitals.com/,hyddental2004@gmail.com,"Minerva Hotel Lane, 3-6-236/1, beside Mirosa Cafe, AP State Housing Board, Himayatnagar, Hyderabad, Telangana 500029",Open - Not Contacted,D
Yashoda Hospitals | Best Hospital in Somajiguda,04067232348,https://www.yashodahospitals.com/locations/somajiguda/,query@yashodamail.com,"6-3-905, Raj Bhavan Rd, Matha Nagar, Somajiguda, Hyderabad, Telangana 500082",Open - Not Contacted,D
Aster Prime Hospital - Best Multispeciality Hospital in Hyderabad,04049594959,https://www.asterhospitals.in/hospitals/aster-prime-hyderabad,customercare.india@asterhospital.com,"Plot No 4, HMDA Maitrivanam, Satyam Theatre Rd, beside Blue Fox Hotel, Kumar Basti, Srinivasa Nagar, Ameerpet, Hyderabad, Telangana 500038",Open - Not Contacted,D
Medicover Hospitals - Best Hospital in Hyderabad - Hitech City,04068334455,https://www.medicoverhospitals.in/hospitals/telangana/hyderabad/hitec-city/?utm_source=google&utm_medium=organic&utm_campaign=gmb-hitech-hyderabad,info@medicoverhospitals.in,"the Lane of IBIS Hotels, Behind Cyber Towers, In, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500082",Open - Not Contacted,D
Apollo Hospitals | Best Hospital in Jubilee Hills Hyderabad,04069071200,https://www.apollohospitals.com/hospitals/apollo-health-city-jubilee-hills,apollohealthcityhyd@apollohospitals.com,"Road No 72, opp. Bharatiya Vidya Bhavan School, Film Nagar, Jubilee Hills, Hyderabad, Telangana 500033",Open - Not Contacted,D
PACE Hospitals,04048486868,https://www.pacehospital.com/,,"Metro Pillar Number C1775, 18, Hitech City Rd, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081",Open - Not Contacted,D
Fitmap - Banjara Hills,08121330888,https://www.fitmap.in/,,"4th Floor, Jyoti Majestic, Road No. 2, Banjara Hills, Hyderabad, Telangana 500034",Open - Not Contacted,D
Sport Life Fitness Club,06303889740,,,"1st Floor Pillar No 86, Sophria Plaza, beside Sophria Private Limited, 13-6-431/D/88, Hyderabad, Telangana 500006",Open - Not Contacted,D
Retro Fit Gym Kothapet | Best Gym in East Hyderabad,09700810999,https://retrofitgym.com/,retrofitgymlh@gmail.com,"11-13-1372 & 1373, Above Mega MORE Beside Astalakshmi Temple Kaman, Dwaraka Nagar Colony, Kothapet, Hyderabad, Telangana 500102",Open - Not Contacted,D
Gold's Gym Banjara Hills,09550410111,https://goldsgym.in/our-gyms/gold-s-gym-hyderabad-banjara-hills/,banjarahills.hyd@goldsgym.in,"8-2 701/2, Road No. 12, Amudi Nagar, Bhola Nagar, Banjara Hills, Hyderabad, Telangana 500028",Open - Not Contacted,D
"Millennium Fitness Club - Available on cult.fit | Best gym in Panjagutta, Hyderabad",09000073242,https://www.cult.fit/cult/cult-pass/hyderabad/Millennium-Fitness-Club/77?utm_source=gmb&utm_medium=organic,,"6-3-670, Punjagutta Rd, above Reliance Digital, beside venkateswara swamy temple, Durga Nagar Colony, Punjagutta, Hyderabad, Telangana 500082",Open - Not Contacted,D
Subhan bakery,04023317571,http://www.subhanbakery.in/,irfan@subhanbakery.com,"11-6-467, Nampally Darga Rd, Devi Bagh, Red Hills, Nampally, Hyderabad, Telangana 500001",Open - Not Contacted,D
Karachi Bakery - Banjara Hills,09100990873,http://www.karachibakery.com/,karachisrinagar@gmail.com,"Unit No. 30, Khanchand Towers, Inner Ring Rd, Shyam Rao Nagar, Banjara Hills, Hyderabad, Telangana 500034",Open - Not Contacted,D
Labonel - Banjara Hills,09581774709,http://www.labonelfinebaking.shop/,,"Ground Floor, NCC Ground, 6-3-249/5/1, Road No. 1, opposite City Centre, Naveen Nagar, Banjara Hills, Hyderabad, Telangana 500034",Open - Not Contacted,D
Bakers Harvest,07036844444,https://bakersharvest.com/,info@bakersharvest.com,"1 & 2, Meenakshi Bamboo's, Commercial Complex, near Ramky Tower's, Bamboos, Phase 2, Gachibowli, Hyderabad, Telangana 500032",Open - Not Contacted,D
Karachi Bakery,07032888731,http://www.karachibakery.com/,karachisrinagar@gmail.com,"Shop No.5, NH 44, Jambagh Rd, Mozamjahi Market, Malakunta, Jam Bagh, Hyderabad, Telangana 500001",Open - Not Contacted,D
Anceita Skin And Hair Clinic,07997990414,https://anceitaclinic.com/,info@ancetacare.com,"Flat No.301, 3rd Floor, In Park View Edifice, Road No. 1, Nandagiri Hills, Jubilee Hills, Hyderabad, Telangana 500033",Open - Not Contacted,D
"Amjad Habib Hair & Beauty Salon, Alkapur.",09052024777,https://amjad-habib-alkapur.salon4u.in/,,"1st Floor, Block- C, H. No. 7-16-38C, Plot No. 38, Survey No. 176, Road, Alkapur Twp, Gandipet, Hyderabad, Telangana 500089",Open - Not Contacted,D
"Bounce Salons, Banjara Hills",09030010188,http://www.bouncehere.com/,,"1st floor, 12th Square, Shop no. 8, 2-686/8/6/1a, Road No. 12, above Pepperfry, Banjara Hills, Hyderabad, Telangana 500034",Open - Not Contacted,D
"Page 3 La' Beige luxury salon, Jubilee Hills, Hyderabad",08248751422,https://luxurysalonhyderabad.com/page-3-luxury-salon-jubilee-hills-hyderabad/,,"8-2-293/82/A/271/102, Apurupa BDR Road No 10 Jubilee Hills Opp to Diamond, Next to zero 40, above ICICI bank, Hyderabad, Telangana 500033",Open - Not Contacted,D
Bubbles Hair and Beauty Salon,09032765577,https://bubblessalon.in/,jane@framer.com,"B, Plot No 21B, Journalist Colony, opp. KBR Park, Jubilee Hills, Hyderabad, Telangana 500096",Open - Not Contacted,D
"Akshara International School, L B Nagar",09023079999,https://akshara.edu.in/l-b-nagar/,admission@akshara.edu.in,"Inner Ring Rd, Sagar Enclave, Bairamalguda, Telangana 500079",Open - Not Contacted,D
EuroSchool Hyderabad - CBSE School,08069832141,https://www.euroschoolindia.com/best-schools-in-hyderabad/cbse-gachibowli-hitech-city/?utm_source=google&utm_medium=organic&utm_id=gmb_listing,connect@euroschoolindia.com,"No. 54, Near Hotel Quality Pearl inn Road Diamond Hills Lumbini Avenue, Gachibowli, HITEC City, Hyderabad, Telangana 500032",Open - Not Contacted,D
Delhi School of Excellence Banjara Hills-Top CBSE Schools in Hyderabad,09248072019,https://www.dsehyd.com/,principal.at@dsehyd.com,"8-2-404/1, Road No.6, Opposite Street GVk, Green Valley, Banjara Hills, Hyderabad, Telangana 500034",Open - Not Contacted,D
ORCHIDS The International School - CBSE School in Jubilee Hills,09999431999,http://www.orchidsinternationalschool.com/hyderabad-branches/jubilee-hills/?utm_source=googlemaps&utm_medium=website&utm_campaign=maps-listing,info@orchids.edu.in,"Road No. 36, opp. Balaji Grand Bazaar, Kakatiya Hills, Guttala_Begumpet, Kavuri Hills, Jubilee Hills, Hyderabad, Telangana 500033",Open - Not Contacted,D
The Premia Academy - Best International School in Hyderabad,,https://thepremiaacademy.com/?utm_source=gmb&utm_medium=organic,admissions@thepremiaacademy.com,"Pillar Number 102, The Premia Academy 501, Sahu Road, Attapur, Mehdi Colony, Karwan, Hyderabad, Telangana 500008",Open - Not Contacted,D
Suraj Real Estates,09603623555,https://surajrealestates.com/,surajrealestates@gmail.com,"8-2-299/82/W/83, Durga Bhavani Nagar, Women's Welfare Housing Society, Jubilee Hills, Hyderabad, Telangana 500033",Open - Not Contacted,D
Shajwal - Find Your Dream Property,07997701234,https://shajwal.com/,info@shajwal.com,"Plot No. 9/246, Road No. 18, Rock Town Colony, Rock Town Residents Colony, Sai Nagar, Chanakyapuri, Hyderabad, Telangana 500068",Open - Not Contacted,D
Dharmas Real Estate Services,09000700575,http://dharmas365.in/,info@dharmas365.in,"Flat# 104, Sri Nilayam, Plot# 216, Calvary Temple Rd, opposite Miyapur Metro Station, Mathrusree Nagar, Hafeezpet, Hyderabad, Telangana 500049",Open - Not Contacted,D
Real Estate agents in Hyderabad | Deccan Progressive Realty.LLP,09549546568,http://dprprop.com/,info@dprprop.com,"Plot no.68, Senore Colony, Veterinary Colony, Ambedkar Nagar, Hyderabad, Telangana 500096",Open - Not Contacted,D
Rebridz Realtors,08074246557,https://rebridz.com/,,"1st Floor, Trendz BSR, Plot No. 10, Greenland Colony, Madhava Reddy Colony, Gachibowli, Hyderabad, Telangana 500032",Open - Not Contacted,D
